activity,occupation,lmd_share,bench_share,diff_pp
aomin,elmn,0.06297,0.29107,-22.80924
aomin,doms,0.00000,0.00000,0.00000
aomnf,mang,0.31547,0.30355,1.19188
aomnf,prof,0.01980,0.02024,-0.04449
aomnf,tech,0.05254,0.05442,-0.18879
aomnf,cler,0.07302,0.07622,-0.32063
aomnf,sale,0.00250,0.00261,-0.01112
aomnf,skag,0.00000,0.00000,0.00000
aomnf,craf,0.09876,0.09667,0.20913
aomnf,oper,0.13524,0.13587,-0.06339
aomnf,elmn,0.30268,0.31041,-0.77259
aomnf,doms,0.00000,0.00000,0.00000
aotrp,mang,0.20030,0.18463,1.56747
aotrp,prof,0.12758,0.12860,-0.10227
aotrp,tech,0.24478,0.25002,-0.52469
aotrp,cler,0.13837,0.14299,-0.46278
aotrp,sale,0.00415,0.00431,-0.01633
aotrp,skag,0.00000,0.00000,0.00000
aotrp,craf,0.16430,0.16649,-0.21906
aotrp,oper,0.04751,0.04878,-0.12707
aotrp,elmn,0.07302,0.07417,-0.11526
aotrp,doms,0.00000,0.00000,0.00000
apapr,mang,0.44165,0.42719,1.44583
apapr,prof,0.01564,0.01649,-0.08431
apapr,tech,0.14775,0.15232,-0.45684
apapr,cler,0.05984,0.06193,-0.20807
apapr,sale,0.00191,0.00195,-0.00374
apapr,skag,0.00000,0.00000,0.00000
apapr,craf,0.10471,0.10569,-0.09785
apapr,oper,0.15234,0.15671,-0.43725
apapr,elmn,0.07615,0.07773,-0.15778
apapr,doms,0.00000,0.00000,0.00000
apetr,mang,0.20744,0.20744,0.00045
apetr,prof,0.14002,0.14003,-0.00069
apetr,tech,0.14435,0.14434,0.00031
apetr,cler,0.13620,0.13621,-0.00071
apetr,sale,0.00947,0.00948,-0.00095
apetr,skag,0.00000,0.00000,0.00000
apetr,craf,0.17342,0.17341,0.00140
apetr,oper,0.16313,0.16314,-0.00034
apetr,elmn,0.02597,0.02596,0.00054
apetr,doms,0.00000,0.00000,0.00000
aplas,mang,0.26988,0.26991,-0.00300
aplas,prof,0.03586,0.03589,-0.00299
aplas,tech,0.11286,0.11282,0.00419
aplas,cler,0.10691,0.10686,0.00516
aplas,sale,0.00194,0.00194,0.00002
aplas,skag,0.00000,0.00000,0.00000
aplas,craf,0.16499,0.16501,-0.00204
aplas,oper,0.22077,0.22077,-0.00069
aplas,elmn,0.08680,0.08680,-0.00067
aplas,doms,0.00000,0.00000,0.00000
apost,mang,0.34392,0.34466,-0.07352
apost,prof,0.18490,0.18558,-0.06776
apost,tech,0.12808,0.12846,-0.03785
apost,cler,0.18717,0.18454,0.26301
apost,sale,0.03179,0.03157,0.02147
apost,skag,0.00000,0.00000,0.00000
apost,craf,0.03392,0.03399,-0.00676
apost,oper,0.06873,0.06957,-0.08403
apost,elmn,0.02148,0.02163,-0.01456
apost,doms,0.00000,0.00000,0.00000
aprnt,mang,0.44131,0.44470,-0.33982
